uf	municipio	total	quantidade	percentual
RN	ACU	2096	1008	48.09
RN	AFONSO BEZERRA	327	192	58.72
RN	AGUA NOVA	124	41	33.06
RN	ALEXANDRIA	436	239	54.82
RN	ALMINO AFONSO	255	98	38.43
RN	ALTO DO RODRIGUES	413	171	41.40
RN	ANGICOS	743	351	47.24
RN	ANTONIO MARTINS	231	87	37.66
RN	APODI	2233	953	42.68
RN	AREIA BRANCA	1167	588	50.39
RN	ARES	428	240	56.07
RN	AUGUSTO SEVERO	389	142	36.50
RN	BAIA FORMOSA	249	108	43.37
RN	BARAUNA	634	335	52.84
RN	BARCELONA	123	56	45.53
RN	BENTO FERNANDES	176	110	62.50
RN	BODO	53	23	43.40
RN	BOM JESUS	298	143	47.99
RN	BREJINHO	318	163	51.26
RN	CAICARA DO NORTE	80	38	47.50
RN	CAICARA DO RIO DO VENTO	94	44	46.81
RN	CAICO	3720	833	22.39
RN	CAMPO REDONDO	372	187	50.27
RN	CANGUARETAMA	937	484	51.65
RN	CARAUBAS	1213	556	45.84
RN	CARNAUBA DOS DANTAS	266	47	17.67
RN	CARNAUBAIS	214	126	58.88
RN	CEARA-MIRIM	1832	918	50.11
RN	CERRO CORA	263	105	39.92
RN	CORONEL EZEQUIEL	116	64	55.17
RN	CORONEL JOAO PESSOA	195	30	15.38
RN	CRUZETA	232	78	33.62
RN	CURRAIS NOVOS	1931	534	27.65
RN	DOUTOR SEVERIANO	222	70	31.53
RN	ENCANTO	226	87	38.50
RN	EQUADOR	305	83	27.21
RN	ESPIRITO SANTO	122	60	49.18
RN	EXTREMOZ	873	399	45.70
RN	FELIPE GUERRA	339	149	43.95
RN	FERNANDO PEDROZA	118	45	38.14
RN	FLORANIA	349	120	34.38
RN	FRANCISCO DANTAS	138	41	29.71
RN	FRUTUOSO GOMES	235	93	39.57
RN	GALINHOS	48	27	56.25
RN	GOIANINHA	843	441	52.31
RN	GOVERNADOR DIX-SEPT ROSADO	577	272	47.14
RN	GROSSOS	359	205	57.10
RN	GUAMARE	331	172	51.96
RN	IELMO MARINHO	191	105	54.97
RN	IPANGUACU	461	236	51.19
RN	IPUEIRA	155	60	38.71
RN	ITAJA	270	140	51.85
RN	ITAU	227	63	27.75
RN	JACANA	355	198	55.77
RN	JANDAIRA	112	68	60.71
RN	JANDUIS	220	112	50.91
RN	JANUARIO CICCO	120	62	51.67
RN	JAPI	132	68	51.52
RN	JARDIM DE ANGICOS	35	16	45.71
RN	JARDIM DE PIRANHAS	399	59	14.79
RN	JARDIM DO SERIDO	482	125	25.93
RN	JOAO CAMARA	1190	621	52.18
RN	JOAO DIAS	66	33	50.00
RN	JOSE DA PENHA	220	40	18.18
RN	JUCURUTU	610	218	35.74
RN	JUNDIA	84	30	35.71
RN	LAGOA D ANTA	223	110	49.33
RN	LAGOA DE PEDRAS	132	65	49.24
RN	LAGOA DE VELHOS	101	54	53.47
RN	LAGOA NOVA	407	184	45.21
RN	LAGOA SALGADA	141	71	50.35
RN	LAJES	421	222	52.73
RN	LAJES PINTADAS	186	107	57.53
RN	LUCRECIA	196	86	43.88
RN	LUIS GOMES	368	147	39.95
RN	MACAIBA	2267	1156	50.99
RN	MACAU	908	429	47.25
RN	MAJOR SALES	122	52	42.62
RN	MARCELINO VIEIRA	317	87	27.44
RN	MARTINS	224	82	36.61
RN	MAXARANGUAPE	172	91	52.91
RN	MESSIAS TARGINO	236	136	57.63
RN	MONTANHAS	188	91	48.40
RN	MONTE ALEGRE	451	247	54.77
RN	MONTE DAS GAMELEIRAS	49	23	46.94
RN	MOSSORO	15177	6410	42.23
RN	NATA	1	1	100.00
RN	NATAL	39351	15361	39.04
RN	NISIA FLORESTA	519	267	51.45
RN	NOVA CRUZ	1019	516	50.64
RN	OLHO-D AGUA DO BORGES	195	73	37.44
RN	OURO BRANCO	173	28	16.18
RN	PARANA	139	37	26.62
RN	PARAU	143	72	50.35
RN	PARAZINHO	134	69	51.49
RN	PARELHAS	982	211	21.49
RN	PARNAMIRIM	11094	4269	38.48
RN	PASSA E FICA	294	147	50.00
RN	PASSAGEM	43	22	51.16
RN	PATU	440	200	45.45
RN	PAU DOS FERROS	1523	431	28.30
RN	PEDRA GRANDE	57	26	45.61
RN	PEDRA PRETA	42	14	33.33
RN	PEDRO AVELINO	106	62	58.49
RN	PEDRO VELHO	412	191	46.36
RN	PENDENCIAS	372	216	58.06
RN	PILOES	151	69	45.70
RN	POCO BRANCO	175	96	54.86
