uf	municipio	total	quantidade	percentual
BA	PIATA	293	15	5.12
BA	PILAO ARCADO	210	6	2.86
BA	PINDAI	448	14	3.13
BA	PINDOBACU	511	18	3.52
BA	PINTADAS	251	5	1.99
BA	PIRAI DO NORTE	81	2	2.47
BA	PIRIPA	198	0	0.00
BA	PIRITIBA	286	3	1.05
BA	PLANALTINO	71	4	5.63
BA	PLANALTO	382	8	2.09
BA	POCOES	1461	38	2.60
BA	POJUCA	1268	35	2.76
BA	PONTO NOVO	355	11	3.10
BA	PORTO SEGURO	2461	71	2.89
BA	POTIRAGUA	161	6	3.73
BA	PRADO	421	10	2.38
BA	PRESIDENTE DUTRA	423	11	2.60
BA	PRESIDENTE JANIO QUADROS	183	4	2.19
BA	PRESIDENTE TANCREDO NEVES	607	30	4.94
BA	QUEIMADAS	277	4	1.44
BA	QUIJINGUE	315	5	1.59
BA	QUIXABEIRA	78	4	5.13
BA	RAFAEL JAMBEIRO	230	1	0.43
BA	REMANSO	972	24	2.47
BA	RETIROLANDIA	249	3	1.20
BA	RIACHAO DAS NEVES	337	10	2.97
BA	RIACHAO DO JACUIPE	1116	18	1.61
BA	RIACHO DE SANTANA	995	14	1.41
BA	RIACHO DEANTANA	1	0	0.00
BA	RIBEIRA DO AMPARO	183	4	2.19
BA	RIBEIRA DO POMBAL	657	14	2.13
BA	RIBEIRAO DO LARGO	88	1	1.14
BA	RIO DE CONTAS	279	11	3.94
BA	RIO DO ANTONIO	275	10	3.64
BA	RIO DO PIRES	188	5	2.66
BA	RIO REAL	997	1	0.10
BA	RODELAS	222	0	0.00
BA	RUY BARBOSA	533	6	1.13
BA	RUYBARBOSA	1	0	0.00
BA	SALINAS DA MARGARIDA	187	3	1.60
BA	SALVADOR	114675	2400	2.09
BA	SANTA ARIA DA VITORIA	1	0	0.00
BA	SANTA BARBARA	303	2	0.66
BA	SANTA BRIGIDA	201	9	4.48
BA	SANTA CRUZ CABRALIA	393	13	3.31
BA	SANTA CRUZ DA VITORIA	123	2	1.63
BA	SANTA INES	400	7	1.75
BA	SANTA LUZIA	158	1	0.63
BA	SANTA MARIA DA VITORIA	775	27	3.48
BA	SANTA RITA DE CASSIA	422	15	3.55
BA	SANTA TERESINHA	233	3	1.29
BA	SANTALUZ	832	24	2.88
BA	SANTANA	384	12	3.13
BA	SANTANOPOLIS	142	3	2.11
BA	SANTO AMARO	1239	20	1.61
BA	SANTO ANTONIO DE JESUS	5015	73	1.46
BA	SANTO ESTEVAO	1192	16	1.34
BA	SAO DESIDERIO	303	10	3.30
BA	SAO DOMINGOS	158	2	1.27
BA	SAO FELIPE	643	14	2.18
BA	SAO FELIX	429	6	1.40
BA	SAO FELIX DO CORIBE	311	13	4.18
BA	SAO FRANCISCO DO CONDE	490	11	2.24
BA	SAO GABRIEL	541	19	3.51
BA	SAO GONCALO DOS CAMPOS	1197	12	1.00
BA	SAO JOSE DA VITORIA	102	1	0.98
BA	SAO JOSE DO JACUIPE	109	0	0.00
BA	SAO MIGUEL DAS MATAS	206	2	0.97
BA	SAO SEBASTIAO DO PASSE	716	21	2.93
BA	SAPEACU	727	11	1.51
BA	SATIRO DIAS	225	6	2.67
BA	SAUBARA	150	1	0.67
BA	SAUDE	251	8	3.19
BA	SEABRA	985	9	0.91
BA	SEBASTIAO LARANJEIRAS	220	10	4.55
BA	SENHOR DO BONFIM	3553	169	4.76
BA	SENTO SE	437	14	3.20
BA	SERRA DO RAMALHO	275	8	2.91
BA	SERRA DOURADA	163	3	1.84
BA	SERRA PRETA	361	1	0.28
BA	SERRINHA	1929	50	2.59
BA	SERROLANDIA	270	10	3.70
BA	SIMOES FILHO	3745	116	3.10
BA	SITIO DO MATO	111	4	3.60
BA	SITIO DO QUINTO	198	0	0.00
BA	SOBRADINHO	933	38	4.07
BA	SOUTO SOARES	129	3	2.33
BA	TABOCAS DO BREJO VELHO	117	5	4.27
BA	TANHACU	228	2	0.88
BA	TANQUE NOVO	370	5	1.35
BA	TANQUINHO	168	5	2.98
BA	TAPEROA	307	8	2.61
BA	TAPIRAMUTA	396	2	0.51
BA	TEIXEIRA DE FREITAS	4611	153	3.32
BA	TEODORO SAMPAIO	220	1	0.45
BA	TEOFILANDIA	233	6	2.58
BA	TEOLANDIA	256	5	1.95
BA	TERRA NOVA	281	6	2.14
BA	TREMEDAL	150	1	0.67
BA	TUCANO	1157	42	3.63
BA	UAUA	642	11	1.71
BA	UBAIRA	667	6	0.90
BA	UBAITABA	513	19	3.70
BA	UBATA	504	5	0.99
BA	UIBAI	433	12	2.77
BA	UMBURANAS	108	10	9.26
BA	UNA	635	3	0.47
BA	URANDI	416	9	2.16
BA	URUCUCA	615	12	1.95
BA	UTINGA	372	5	1.34
BA	VALENCA	2463	95	3.86
BA	VALENTE	723	22	3.04
BA	VARZEA DA ROCA	187	4	2.14
BA	VARZEA DO POCO	145	2	1.38
BA	VARZEA NOVA	373	10	2.68
BA	VARZEDO	249	0	0.00
BA	VERA CRUZ	779	11	1.41
BA	VERA CUZ	1	0	0.00
BA	VEREDA	82	3	3.66
BA	VITORIA DA CNQUISTA	1	0	0.00
BA	VITORIA DA CONQUISTA	14100	321	2.28
BA	WAGNER	121	0	0.00
BA	WANDERLEY	214	17	7.94
BA	WENCESLAU GUIMARAES	214	3	1.40
BA	XIQUE-XIQUE	1023	24	2.35
CE	ABAIARA	232	5	2.16
CE	ACARAPE	762	7	0.92
CE	ACARAU	2253	24	1.07
CE	ACOPIARA	1417	14	0.99
CE	AIUABA	283	9	3.18
CE	ALCANTARAS	320	5	1.56
CE	ALTANEIRA	238	9	3.78
CE	ALTO SANTO	334	7	2.10
CE	AMONTADA	1133	12	1.06
CE	ANTONINA DO NORTE	178	4	2.25
CE	APUIARES	497	17	3.42
CE	AQUIRAZ	1688	38	2.25
CE	ARACAI	1	0	0.00
CE	ARACANAU	1	0	0.00
CE	ARACATI	2608	94	3.60
CE	ARACOIABA	1054	21	1.99
CE	ARARENDA	242	0	0.00
CE	ARARIPE	452	15	3.32
CE	ARATUBA	583	4	0.69
