id	qtdtotal	qtdamarelo	qtdindigeno	qtdpreto	qtdpardo	qtdbranco	qtdcota	prcamarelo	prcindigeno	prcpreto	prcpardo	prcbranco	prccota
246	5533	201	47	1105	2878	1168	1168	3.63	0.85	19.97	52.02	21.11	72.84
247	269	11	3	31	152	64	64	4.09	1.12	11.52	56.51	23.79	69.14
248	184	2	0	44	122	14	14	1.09	0.00	23.91	66.30	7.61	90.22
249	158	4	0	32	91	31	31	2.53	0.00	20.25	57.59	19.62	77.85
250	125	1	1	31	74	11	11	0.80	0.80	24.80	59.20	8.80	84.80
251	321	6	3	42	173	88	88	1.87	0.93	13.08	53.89	27.41	67.91
252	175	1	0	41	116	17	17	0.57	0.00	23.43	66.29	9.71	89.71
253	228	2	3	29	136	54	54	0.88	1.32	12.72	59.65	23.68	73.68
254	223	6	0	69	136	6	6	2.69	0.00	30.94	60.99	2.69	91.93
255	1282	29	13	344	643	217	217	2.26	1.01	26.83	50.16	16.93	78.00
256	167	1	1	12	121	26	26	0.60	0.60	7.19	72.46	15.57	80.24
257	167	0	0	30	108	28	28	0.00	0.00	17.96	64.67	16.77	82.63
258	323	6	2	48	220	32	32	1.86	0.62	14.86	68.11	9.91	83.59
259	452	13	0	44	292	88	88	2.88	0.00	9.73	64.60	19.47	74.34
260	319	2	4	29	198	80	80	0.63	1.25	9.09	62.07	25.08	72.41
261	574	9	3	143	348	65	65	1.57	0.52	24.91	60.63	11.32	86.06
262	101	0	0	7	67	24	24	0.00	0.00	6.93	66.34	23.76	73.27
263	224	2	2	12	125	73	73	0.89	0.89	5.36	55.80	32.59	62.05
264	2243	20	11	196	1049	925	925	0.89	0.49	8.74	46.77	41.24	56.00
265	450	13	7	101	265	48	48	2.89	1.56	22.44	58.89	10.67	82.89
266	93	4	1	2	68	17	17	4.30	1.08	2.15	73.12	18.28	76.34
267	109	6	0	14	63	25	25	5.50	0.00	12.84	57.80	22.94	70.64
268	394	10	1	152	195	36	36	2.54	0.25	38.58	49.49	9.14	88.32
269	1472	28	8	677	604	134	134	1.90	0.54	45.99	41.03	9.10	87.57
270	815	25	4	128	398	234	234	3.07	0.49	15.71	48.83	28.71	65.03
271	150	5	3	31	90	19	19	3.33	2.00	20.67	60.00	12.67	82.67
272	94	2	2	9	51	22	22	2.13	2.13	9.57	54.26	23.40	65.96
273	1683	29	9	203	654	721	721	1.72	0.53	12.06	38.86	42.84	51.46
274	267	3	2	40	182	32	32	1.12	0.75	14.98	68.16	11.99	83.90
275	131	2	0	31	53	18	18	1.53	0.00	23.66	40.46	13.74	64.12
276	317	8	0	51	168	35	35	2.52	0.00	16.09	53.00	11.04	69.09
277	987	12	19	307	533	106	106	1.22	1.93	31.10	54.00	10.74	87.03
278	7341	228	72	2284	3747	825	825	3.11	0.98	31.11	51.04	11.24	83.14
279	623	22	10	244	287	55	55	3.53	1.61	39.17	46.07	8.83	86.84
280	314	6	1	31	207	65	65	1.91	0.32	9.87	65.92	20.70	76.11
281	1577	73	16	239	929	279	279	4.63	1.01	15.16	58.91	17.69	75.08
282	93	1	0	4	54	31	31	1.08	0.00	4.30	58.06	33.33	62.37
283	473	19	2	84	268	85	85	4.02	0.42	17.76	56.66	17.97	74.84
284	803	14	4	179	471	110	110	1.74	0.50	22.29	58.66	13.70	81.44
285	102	3	0	29	50	18	18	2.94	0.00	28.43	49.02	17.65	77.45
286	1351	46	7	507	652	94	94	3.40	0.52	37.53	48.26	6.96	86.31
287	472	7	0	54	277	125	125	1.48	0.00	11.44	58.69	26.48	70.13
288	520	12	2	53	305	126	126	2.31	0.38	10.19	58.65	24.23	69.23
289	343	1	3	41	211	67	67	0.29	0.87	11.95	61.52	19.53	74.34
290	122	4	1	17	75	17	17	3.28	0.82	13.93	61.48	13.93	76.23
291	176	6	1	15	116	31	31	3.41	0.57	8.52	65.91	17.61	75.00
292	570	19	2	110	296	127	127	3.33	0.35	19.30	51.93	22.28	71.58
293	163	1	1	6	80	73	73	0.61	0.61	3.68	49.08	44.79	53.37
294	311	5	1	84	158	60	60	1.61	0.32	27.01	50.80	19.29	78.14
295	258	6	3	108	111	23	23	2.33	1.16	41.86	43.02	8.91	86.05
296	678	10	1	95	457	105	105	1.47	0.15	14.01	67.40	15.49	81.56
297	1307	34	12	184	677	362	362	2.60	0.92	14.08	51.80	27.70	66.79
298	546	6	5	176	301	49	49	1.10	0.92	32.23	55.13	8.97	88.28
299	48	0	0	12	22	5	5	0.00	0.00	25.00	45.83	10.42	70.83
300	1487	35	7	415	844	149	149	2.35	0.47	27.91	56.76	10.02	85.14
301	111	0	0	16	48	47	47	0.00	0.00	14.41	43.24	42.34	57.66
302	414	15	0	49	246	95	95	3.62	0.00	11.84	59.42	22.95	71.26
303	207	3	2	27	151	9	9	1.45	0.97	13.04	72.95	4.35	86.96
304	559	18	3	52	237	234	234	3.22	0.54	9.30	42.40	41.86	52.24
305	442	10	4	81	223	113	113	2.26	0.90	18.33	50.45	25.57	69.68
306	941	15	8	291	503	108	108	1.59	0.85	30.92	53.45	11.48	85.23
307	196	4	3	9	135	42	42	2.04	1.53	4.59	68.88	21.43	75.00
308	733	3	2	450	220	40	40	0.41	0.27	61.39	30.01	5.46	91.68
309	504	6	1	240	210	40	40	1.19	0.20	47.62	41.67	7.94	89.48
310	1608	37	16	360	846	320	320	2.30	1.00	22.39	52.61	19.90	76.00
311	940	27	1	367	469	60	60	2.87	0.11	39.04	49.89	6.38	89.04
312	321	13	6	72	188	31	31	4.05	1.87	22.43	58.57	9.66	82.87
313	278	2	1	15	172	85	85	0.72	0.36	5.40	61.87	30.58	67.63
314	71	3	1	11	39	17	17	4.23	1.41	15.49	54.93	23.94	71.83
315	731	11	1	347	331	31	31	1.50	0.14	47.47	45.28	4.24	92.89
316	290	4	0	12	158	113	113	1.38	0.00	4.14	54.48	38.97	58.62
317	241	5	2	29	129	69	69	2.07	0.83	12.03	53.53	28.63	66.39
318	288	2	0	18	204	63	63	0.69	0.00	6.25	70.83	21.88	77.08
