uf	municipio	total	quantidade	percentual
BA	ANTONIO GONCALVES	336	90	26.79
BA	APORA	203	42	20.69
BA	APUAREMA	158	42	26.58
BA	ARACAS	306	120	39.22
BA	ARACATU	222	16	7.21
BA	ARACI	483	73	15.11
BA	ARAMARI	178	78	43.82
BA	ARATACA	169	73	43.20
BA	ARATUIPE	82	28	34.15
BA	AURELINO LEAL	271	95	35.06
BA	BAIANOPOLIS	180	12	6.67
BA	BAIXA GRANDE	449	113	25.17
BA	BANZAE	118	9	7.63
BA	BARRA	326	96	29.45
BA	BARRA DA ESTIVA	563	69	12.26
BA	BARRA DO CHOCA	753	133	17.66
BA	BARRA DO MENDES	367	43	11.72
BA	BARRA DO ROCHA	136	41	30.15
BA	BARREIRAS	5533	1105	19.97
BA	BARRO ALTO	269	31	11.52
BA	BARRO PRETO	184	44	23.91
BA	BARROCAS	158	32	20.25
BA	BELMONTE	125	31	24.80
BA	BELO CAMPO	321	42	13.08
BA	BIRITINGA	175	41	23.43
BA	BOA NOVA	228	29	12.72
BA	BOA VISTA DO TUPIM	223	69	30.94
BA	BOM JESUS DA LAPA	1282	344	26.83
BA	BOM JESUS DA SERRA	167	12	7.19
BA	BONINAL	167	30	17.96
BA	BONITO	323	48	14.86
BA	BOQUIRA	452	44	9.73
BA	BOTUPORA	319	29	9.09
BA	BREJOES	574	143	24.91
BA	BREJOLANDIA	101	7	6.93
BA	BROTAS DE MACAUBAS	224	12	5.36
BA	BRUMADO	2243	196	8.74
BA	BUERAREMA	450	101	22.44
BA	BURITIRAMA	93	2	2.15
BA	CAATIBA	109	14	12.84
BA	CABACEIRAS DO PARAGUACU	394	152	38.58
BA	CACHOEIRA	1472	677	45.99
BA	CACULE	815	128	15.71
BA	CAEM	150	31	20.67
BA	CAETANOS	94	9	9.57
BA	CAETITE	1683	203	12.06
BA	CAFARNAUM	267	40	14.98
BA	CAIRU	131	31	23.66
BA	CALDEIRAO GRANDE	317	51	16.09
BA	CAMACAN	987	307	31.10
BA	CAMACARI	7341	2284	31.11
BA	CAMAMU	623	244	39.17
BA	CAMPO ALEGRE DE LOURDES	314	31	9.87
BA	CAMPO FORMOSO	1577	239	15.16
BA	CANAPOLIS	93	4	4.30
BA	CANARANA	473	84	17.76
BA	CANAVIEIRAS	803	179	22.29
BA	CANDEAL	102	29	28.43
BA	CANDEIAS	1351	507	37.53
BA	CANDIBA	472	54	11.44
BA	CANDIDO SALES	520	53	10.19
BA	CANSANCAO	343	41	11.95
BA	CANUDOS	122	17	13.93
BA	CAPELA DO ALTO ALEGRE	176	15	8.52
BA	CAPIM GROSSO	570	110	19.30
BA	CARAIBAS	163	6	3.68
BA	CARAVELAS	311	84	27.01
BA	CARDEAL DA SILVA	258	108	41.86
BA	CARINHANHA	678	95	14.01
BA	CASA NOVA	1307	184	14.08
BA	CASTRO ALVES	546	176	32.23
BA	CATOLANDIA	48	12	25.00
BA	CATU	1487	415	27.91
BA	CATURAMA	111	16	14.41
BA	CENTRAL	414	49	11.84
BA	CHORROCHO	207	27	13.04
BA	CICERO DANTAS	559	52	9.30
BA	CIPO	442	81	18.33
BA	COARACI	941	291	30.92
BA	COCOS	196	9	4.59
BA	CONCEICAO DA FEIRA	733	450	61.39
BA	CONCEICAO DO ALMEIDA	504	240	47.62
